strain	virus	accession	date	region	country	division	city	db	segment	authors
Aedes_aegypti/USA/2016/FL01	zika	KX838904	2016-08-22	north_america	usa	usa	usa	genbank	genome	Grubaugh
Aedes_aegypti/USA/2016/FL02	zika	KX838905	2016-08-23	north_america	usa	usa	usa	genbank	genome	Grubaugh
Aedes_aegypti/USA/2016/FL03	zika	KX838906	2016-08-23	north_america	usa	usa	usa	genbank	genome	Grubaugh
Aedes_aegypti/USA/2016/FL04	zika	KX922708	2016-09-04	north_america	usa	usa	usa	genbank	genome	Grubaugh
Aedes_aegypti/USA/2016/FL05	zika	KY075937	2016-09-09	north_america	usa	usa	usa	genbank	genome	Grubaugh
Aedes_aegypti/USA/2016/FL06	zika	KY075938	2016-09-20	north_america	usa	usa	usa	genbank	genome	Grubaugh
Aedes_aegypti/USA/2016/FL08	zika	KY075939	2016-10-05	north_america	usa	usa	usa	genbank	genome	Grubaugh
Aedessp/MEX/MEX_2_81/2016	zika	KX446950	2016-01-01	north_america	mexico	mexico	mexico	genbank	genome	Shabman
Aedessp/MEX/MEX_I_7/2016	zika	KX446951	2016-01-01	north_america	mexico	mexico	mexico	genbank	genome	Shabman
BRA/2016/FC_5790	zika	KY785446	2016-03-22	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_5905	zika	KY014308	2016-03-23	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_6418	zika	KY785410	2016-03-27	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_6696	zika	KY014313	2016-04-05	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_6703	zika	KY785439	2016-04-08	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_6706	zika	KY785433	2016-04-08	south_america	brazil	brazil	brazil	genbank	genome	Metsky
